model,lambda,test_mse,test_r2,intercept,coef_gene_1,coef_gene_2,coef_gene_3,coef_gene_4,coef_gene_5,coef_gene_6,coef_gene_7,coef_gene_8,coef_gene_9,coef_gene_10,coef_gene_11,coef_gene_12,coef_gene_13,coef_gene_14,coef_gene_15,coef_gene_16,coef_gene_17,coef_gene_18,coef_gene_19,coef_gene_20,coef_gene_21,coef_gene_22,coef_gene_23,coef_gene_24
OLS,0.0,18.206234059442714,0.9762086434563754,-0.476189583062155,20.65922108637452,-14.801452210489,9.657679616477639,-2.052105847844469,1.0202872682351667,1.9806705968568765,0.23367231515004325,2.2784330561710457,-4.477677105469758,1.1535954955507017,0.2940841776335829,0.0009619002347914181,0.24566579191305962,0.2847411010196463,0.21128534729765494,-0.4989324760158554,-0.49304989522138665,0.5781851887748608,-0.30846080615874877,-0.13120664371564691,-0.015416306977084803,-0.6389834329377173,0.6599487982079592,-0.7496004552052279
Ridge,0.003,18.173284617633247,0.9762517007913214,-0.47576322173501595,20.656939091815186,-14.799515323509677,9.656570058484983,-2.0447298337672266,1.018724442176571,1.9777707423879387,0.22993488604376103,2.2698381088327597,-4.467846419422933,1.1518514769713724,0.293502368700347,0.001556924882886539,0.2450577348788935,0.28413556378050503,0.21099933740970533,-0.498639302817368,-0.4929934545981201,0.5775427761917409,-0.3082917685406955,-0.1306722492132391,-0.01464892070235408,-0.6382479551769071,0.6597546742579822,-0.748817706938689
Ridge,0.01,18.09706704870118,0.9763512996073879,-0.47477384763861696,20.651630526668917,-14.79501345766905,9.65398367878516,-2.02765194313247,1.015107084534152,1.971033688309882,0.221295247557692,2.249933370771377,-4.445057886208158,1.14779340424077,0.29214707753209035,0.002939574520951268,0.24365092329051247,0.2827353368160196,0.21033709200406356,-0.49796312821054917,-0.49286555874260835,0.5760526606776483,-0.30789820631613474,-0.12943243035686292,-0.012871617788295424,-0.6365458517169121,0.6593066893444371,-0.7470079432990575
Ridge,0.03,17.8843037526463,0.9766293322537503,-0.4719881054942925,20.636584763412134,-14.782283092771534,9.646613766054296,-1.979859113445025,1.0049904842231858,1.952009338609996,0.19721946395345238,2.194194632791958,-4.3810807987267,1.1362880603220795,0.28829190760229045,0.006846849700606147,0.23972200573412933,0.2788302293665597,0.2084832300562687,-0.49609068455890964,-0.4925290280856035,0.5718615494226658,-0.3067806069162592,-0.12594372220305053,-0.007893689970540659,-0.6317882216320756,0.6580642599858979,-0.7419625045346265
Ridge,0.1,17.193658511549486,0.9775318465860632,-0.46267724700805113,20.585253438285967,-14.739157621553415,9.621041236337904,-1.8234473894664043,0.9719019289395021,1.8879812580060775,0.11949661759296507,2.0113974683288567,-4.169596265417498,1.0971154975599358,0.27498555785092327,0.020058124865014567,0.2269590140585966,0.2661942024640154,0.20240138440024358,-0.49018131937387505,-0.49167259780396994,0.55790204402352,-0.3029565180831432,-0.11431847464173202,0.008440440182024398,-0.6162782622992804,0.6541246818720856,-0.725656979372046
Ridge,0.3,15.59569301689982,0.9796200196098469,-0.439047755050189,20.448105654404102,-14.625942135109515,9.549700669627446,-1.4527212704518118,0.8927642293801444,1.7251707513166503,-0.057915589314453585,1.5754185021396268,-3.6550804737870464,0.995130105130317,0.23831467773209883,0.054615381187158675,0.19752362872338758,0.23723355994273335,0.18772401683748635,-0.477793133688121,-0.49161002853841124,0.522811249453083,-0.29288551981171707,-0.08526982346854194,0.04743678791320925,-0.5799096796456096,0.6457608289629323,-0.6884470370232121
Ridge,1.0,12.54459826905422,0.9836070980334995,-0.3750156419712537,20.03659063617677,-14.29778760738006,9.31555291984413,-0.6699189407769376,0.7109290741221673,1.3244919790446834,-0.3975925946057592,0.63621125701499,-2.4991973609133944,0.7368729274727507,0.12049152528153063,0.1544811027925082,0.14341815854653564,0.18248304607129054,0.1524455081984567,-0.4644864254213119,-0.5087616400471124,0.43026721250009897,-0.2673006552814731,-0.012994555094719555,0.13179920958956906,-0.5054099452625606,0.6360477741048662,-0.6197890550752152
Ridge,3.0,12.210002970476541,0.9840443370594448,-0.24291880096784713,19.09631995427836,-13.57387184249782,8.733067353467613,0.11792491519840013,0.4565352283958917,0.7972633863490558,-0.6792553790937644,-0.3691898236159497,-1.1803169533162319,0.3923240780819863,-0.164565535523954,0.37100047470306396,0.12904433003937757,0.14621018766878027,0.09104492144911445,-0.5064992743190239,-0.5993545281602202,0.251265275689285,-0.23818997906747896,0.09935711550611556,0.22812142461563964,-0.4379571558386145,0.65636028824379,-0.5856246600719781
Ridge,10.0,40.42424856167162,0.9471748134513287,0.07183937313294708,16.641857821657908,-11.7215876479299,7.2598992400846685,0.490995718620329,0.1315020616850184,0.2829928645664119,-0.771756460205795,-1.0117771631847863,-0.23172318105822143,0.04258413273624679,-0.8291101347190374,0.841417583514758,0.2603916145677974,0.1602420233503918,-0.02750359354104293,-0.7111757207336791,-0.8295626125416912,-0.1271380083814786,-0.21797775797330032,0.24150637801209102,0.3362768529921594,-0.4429336798599891,0.7144546095639508,-0.6549126919099775
Ridge,30.0,165.69898511177894,0.783469573068218,0.5034594726417778,12.384878503642106,-8.559408412502371,5.09573596217192,0.3114641679344578,-0.16453419195518254,-0.072850953889757,-0.7183840592108204,-1.0773096655037675,-0.0074340907507563945,-0.21868670302283122,-1.535507853871165,1.2965038824455637,0.45105648387173175,0.18042631227567388,-0.12939904842810693,-0.9581074620127439,-0.9120845510255478,-0.5445002127501063,-0.1341069552356184,0.2577448850103713,0.43420859393360933,-0.5498293831922049,0.6289381491531787,-0.7234376959990458
Ridge,100.0,445.0692002749932,0.41839701743061297,0.7913581780422394,6.7194027274060435,-4.478687894458375,2.7201197135817594,-0.08200277106416504,-0.38561834415802837,-0.3372187203758788,-0.6338513741478636,-0.8572495052341086,-0.16573508241740187,-0.4065650177527969,-1.5532351607261214,1.2197469465001118,0.4273557929382673,0.19475110944511928,-0.12352702826526452,-0.8758009099927028,-0.562687468996309,-0.6429190591765868,0.04483419579651156,0.1215294305831807,0.3724075788564857,-0.5679517436914476,0.30054516578725965,-0.6283931473047583
